Id;Stanice;Km;Long;Lati
290;N.Bydzov;33.5;15.4856672223409;50.2445980559455
291;Lukova;27.3;15.4868877776464;50.190165277587
292;Skrivany;36.6;15.4992152775658;50.2723763889737
293;Smidary;39.4;15.4959138891432;50.2946844440036
294;Ohnistany;44.2;15.5069524998135;50.3336258333259
295;Lazne Belohrad;58.9;15.5772530555725;50.4261800003052
296;Sarovcova Lhota;55.7;15.5616775004069;50.4079119443893
297;H.Nova Ves;61.7;15.5721180555556;50.4505763889021
298;Semonice;37.1;15.8774194441901;50.3316297223833
299;St.Paka;74;15.4843161111408;50.5166961111108
300;N.Paka;69.6;15.5236719444063;50.4860283332401
301;N.Paka m.;70.8;15.5126333332062;50.4946149995592
302;Borovnice;73.9;15.6041425000297;50.5093083328671
303;Mostek;67.2;15.6916938887702;50.4920569446352
304;Borovnicka;69.9;15.6588627778159;50.5000580555573
305;Bila Tremesna;60.8;15.7336233333415;50.4515275000201
306;Dvur Kralove n.L.;54.2;15.7989755556318;50.4135863886939
309;Jaromer;39.7;15.9110519440969;50.3418666664759
310;Jaromer zast.;41.9;15.9113033337063;50.357153055403
311;Rychnovek;4.6;15.9696886110306;50.3607219441732
312;Smirice;33.2;15.8578913889991;50.2999819448259
313;Cernozice;35.2;15.8695672223303;50.315513888465
314;Smirice zast.;10.6;15.8445647218492;50.2931438891093
315;Sendrazice;8.1;15.815431110594;50.296105000178
316;Racice n.Trot.;5.6;15.7919197220272;50.3123144446479
317;Horineves;2.6;15.7533802776866;50.3127433331807
318;Predmerice n.L.;26.7;15.81760083331;50.2535105554263
319;Lochenice;29.1;15.8245186111662;50.27311472204
320;Opatovice n.L.;16.8;15.7893058331807;50.1660983329349
321;Steblova;9.6;15.7576983335283;50.1045438888338
322;Ceperka;12.7;15.7700011110306;50.1314813889398
323;Kuncice n.L.;97.1;15.6223752779431;50.5840880555577
324;H.Branna;94.1;15.5870272223155;50.5966972223918
325;Klasterska Lhota;101.1;15.6605655553606;50.5587255557378
326;Hostinne;107.4;15.7393277777566;50.5358572223451
327;Hostinne m.;106;15.7195002778371;50.5393258333206
328;Prosecne;104;15.6960819445716;50.5475269444784
329;Chotevice;111.3;15.7598230552673;50.5190069444974
330;Pilnikov;115.6;15.8126358328925;50.5340680555503
331;Vlcice;118;15.8348491666052;50.5467597219679
332;Trutnov hl.n.;124.8;15.9096816666921;50.5659258333842
333;Trutnov-Porici;47;15.955086666743;50.5799244446225
334;Trutnov str.;127.9;15.9429599995083;50.5770691670312
335;Trutnov zast.;1.1;15.9599597220951;50.578068611357
336;Lhota u Trut.;3.5;15.9863580555386;50.5865594445335
337;Petrikovice;5.8;16.0030833334393;50.6017397222254
338;Bohuslavice n.Upou;43.2;15.9788105551402;50.551051944428
339;Libec;49.4;15.9462602774302;50.5963752778371
340;Vrchlabi;4.5;15.6262727779812;50.6165183332231
341;Podhuri;2.3;15.6245572222604;50.6005097222328
342;Svoboda n.Upou;10;15.8206777776612;50.6215869442622
343;Mlade Buky;7.6;15.8412902779049;50.6070508331723
344;Kalna Voda;5.3;15.8708188888762;50.600831666655
345;Trutnov-Stare m.;3.9;15.8816924995846;50.5910494444105
346;Zacler;5;15.9112311108907;50.6647208330366
347;Lampertice;3;15.9299661106533;50.6735822221968
348;Kralovec;60.3;15.9681080555916;50.6710369443893
349;Trutnov-Zel.Louka;2.7;15.8881750000848;50.5809380552504
350;Bernartice u Trut.;57;15.9588022221459;50.6471236112383
351;Krenov;54.5;15.9355472221639;50.6381344445546
352;Radvanice;12.3;16.05975777732;50.5754244444105
353;Chvalec;8.7;16.0380400000678;50.5994147226546
354;Janovice u Trut.;16.7;16.0855658332507;50.5860386112001
355;Adrspach;24.7;16.1263530551063;50.6154088889228
356;Hodkovice u Trut.;18.9;16.0720186111662;50.6047274997499
357;H.Adrspach;21.4;16.0830872217814;50.6232000001272
358;Teplice n.M.skaly;28.2;16.1497158336639;50.5969483333164
359;Teplice n.M.mest.;30.3;16.1722986110052;50.5930972226461
360;Male Svatonovice;35.4;16.0487305556403;50.5304108333588
361;Suchovrsice;39.7;16.0054941664802;50.5323805554708
362;V.Svatonovice;38.1;16.0222208335665;50.5404866668913
363;Rtyne v Podkrk.;33.1;16.0730891667472;50.5157519446479
364;Cerveny Kostelec;28.2;16.0755194446776;50.4853761111365
365;Rtyne v Podk.zast.;30.7;16.0912750000424;50.4995516671075
366;Olesnice;25;16.084246944454;50.4573922220866
367;Starkoc;18.4;16.0983299997118;50.4114833333757
368;Resetova Lhota;21.3;16.1029113888741;50.4304649999407
369;C.Skalice;12.2;16.0537077776591;50.3947511111365
370;V.Jesenice;8.9;16.0251475000381;50.3730194446776
371;Pardubice-Semtin;4.7;15.7482672225104;50.0619788890415
372;Placice;23.9;15.775026111073;50.1876402778096
373;Zadulka;240.5;16.4755052778456;49.8563541666667
374;Les;4.3;16.4768150001102;49.8652611107296
377;Racice n.Tr.nakl.;6.4;15.7985074996948;50.3073177777396
